theme_id | count 
----------+-------
      184 |    19
       87 |    21
      477 |     9
      273 |    53
      550 |    38
       51 |    11
      394 |     3
      272 |    14
       70 |    12
      190 |     6
      350 |     8
      539 |    19
      554 |    19
      278 |    16
      406 |     4
      176 |     1
      576 |    17
      309 |     3
      292 |     1
      509 |     1
      271 |     6
       22 |   148
      156 |     1
      417 |    12
      556 |    17
      475 |     1
      529 |    20
      282 |    12
      390 |    83
      173 |     1
      269 |    27
      261 |     2
      502 |    55
       42 |     6
      189 |     7
      117 |    13
      161 |     4
      113 |    43
       40 |     8
      125 |    16
      257 |     4
       43 |    11
      587 |     9
      120 |    69
      578 |    29
      349 |     3
      187 |     6
       57 |     8
       19 |    13
      160 |     6
      506 |     7
      508 |     1
      242 |    29
      357 |    15
      331 |     7
      599 |     1
      266 |     3
      315 |    23
      366 |    23
       91 |    18
       54 |     6
      305 |    17
        4 |    40
      181 |     3
       96 |     2
      466 |    13
      201 |     9
       10 |     6
      107 |     3
        6 |    20
      446 |     4
      220 |   216
       86 |    18
      400 |    18
      219 |    48
      175 |     1
      363 |    21
      285 |     1
       50 |    24
       66 |     5
      231 |     6
      512 |     1
      340 |     7
      523 |     1
      356 |    13
       13 |    26
      391 |     2
      487 |    27
      458 |     4
      414 |     1
        2 |     4
      368 |     1
      246 |    26
       75 |    14
      128 |     7
      538 |    19
      166 |    46
      344 |    25
      142 |     9
      152 |     7
      410 |    15
      534 |    13
      355 |     6
      222 |    48
      381 |     2
       38 |    11
      359 |    17
      193 |    28
      164 |     4
      548 |    19
      453 |   140
      217 |    96
      186 |    25
       47 |     1
      501 |   246
      177 |     4
      545 |    20
      182 |    25
       18 |     2
      528 |    14
      110 |     2
      145 |     4
      557 |    17
      563 |     9
      143 |    15
      496 |    24
       58 |    61
      228 |    18
      485 |     2
      294 |     2
      229 |    24
      481 |     7
      559 |     6
      304 |     6
       52 |    59
      607 |     1
      438 |    17
      382 |     3
      258 |     1
      341 |    13
      378 |     7
      483 |     9
      405 |    32
       84 |    30
      170 |    24
      276 |    23
      513 |     3
      101 |     5
      473 |    99
       69 |    14
      379 |     1
      320 |     6
      115 |     2
      375 |     2
      415 |     1
       97 |     7
      108 |     2
      408 |    90
       59 |    11
      589 |     9
      127 |    10
      555 |    18
      567 |     5
      329 |    11
       44 |     1
       11 |    32
      575 |     8
      401 |    44
      153 |    11
      279 |     1
      507 |    33
      214 |     4
        9 |     4
      419 |     3
      543 |    19
      565 |     6
      551 |    19
      566 |     4
      532 |    16
      457 |     2
       85 |    64
       95 |     2
      281 |     5
      259 |    44
      519 |     1
      302 |    13
      172 |     1
      409 |    73
       30 |     3
       21 |    21
      288 |     2
      521 |    12
        3 |    17
      324 |    65
      249 |     1
      398 |    18
      255 |     2
