          theme_name           |    color_name     
-------------------------------+-------------------
 Control Lab                   | Black
 Control Lab                   | Dark Gray
 Star Wars                     | [No Color]
 Food & Drink                  | White
 The Hobbit                    | Reddish Brown
 The Hobbit                    | Tan
 The Hobbit                    | Black
 Minifig Pack                  | Black
 Technic                       | [No Color]
 Supplemental                  | Black
 Supplemental                  | Chrome Silver
 Post Office                   | Blue
 Post Office                   | White
 Belville                      | White
 Belville                      | Pink
 LEGO Exclusive                | Black
 Supplemental                  | Dark Bluish Gray
 Supplemental                  | Red
 Supplemental                  | Green
 Traffic                       | Black
 Classic Town                  | Red
 Tohunga                       | Black
 Adventurers                   | Black
 Aquazone                      | Chrome Silver
 Key Chain                     | White
 Gas Station                   | White
 Supplemental                  | Red
 Supplemental                  | Light Gray
 Jumbo Bricks                  | Blue
 Building                      | Yellow
 Agori                         | Black
 Supplemental                  | Light Bluish Gray
 The Lord of the Rings         | Dark Bluish Gray
 Ben 10                        | Dark Blue
 Stars                         | Dark Bluish Gray
 Western                       | Chrome Gold
 Matoran of Light              | Dark Bluish Gray
 Power Functions               | Light Bluish Gray
 Train                         | Trans-Clear
 Pirates                       | Chrome Gold
 Mosaic                        | White
 Team GB                       | White
 HO 1:87 Vehicles              | Black
 Series 13 Minifigures         | Black
 Universe                      | White
 Castle                        | Light Gray
 Airport                       | Red
 Series 10 Minifigures         | Black
 Series 12 Minifigures         | Black
 Series 15 Minifigures         | Black
 Supplemental                  | White
 Mini                          | Red
 Scala                         | White
 Series 3 Minifigures          | Black
 Series 9 Minifigures          | Black
 Disney                        | Black
 Star Wars Episode 8           | Light Bluish Gray
 Series 5 Minifigures          | Black
 Series 6 Minifigures          | Black
 Series 7 Minifigures          | Black
 Series 11 Minifigures         | Black
 Clikits                       | Trans-Dark Pink
 Series 1 Minifigures          | Black
 Series 4 Minifigures          | Black
 The LEGO Movie Series         | Black
 Series 14 Minifigures         | Black
 Cars                          | Black
 The Simpsons                  | Black
 Pirates                       | Reddish Brown
 Matoran of Voya Nui           | Black
 Castle                        | Dark Gray
 Series 8 Minifigures          | Black
 Food & Drink                  | Red
 Castle                        | Light Bluish Gray
 Traffic                       | Black
 9V                            | Dark Bluish Gray
 Gas Station                   | Yellow
 Spider-Man 2                  | Black
 Police                        | White
 Series 2 Minifigures          | Black
 Toa Hagah                     | Black
 Planet Series 4               | Black
 Harbor                        | Yellow
 Supplemental                  | Black
 Series 16 Minifigures         | Black
 Rahaga                        | Black
 Xalax                         | Black
 Construction                  | Yellow
 DFB Minifigures               | White
 4 Juniors                     | White
 Farm                          | Red
 Classic Basic                 | White
 Farm                          | Blue
 Coast Guard                   | White
 Fire                          | Black
 Police                        | Blue
 Fire                          | Red
 Matoran of Mahri Nui          | Black
 Belville                      | White
 Visorak                       | Black
 Creator                       | Black
 Star Wars Episode 1           | Yellow
 Matoran of Mata Nui           | Black
 Series 17 Minifigures         | Black
 Star Wars Episode 1           | Light Bluish Gray
 Star Wars Expanded Universe   | Black
 Star Wars Expanded Universe   | Dark Bluish Gray
 Police                        | Black
 Planet Series 2               | Light Bluish Gray
 Piraka                        | Black
 Toa Inika                     | Black
 Sports                        | White
 Bohrok-Kal                    | Light Gray
 Matoran of Metru Nui          | Dark Bluish Gray
 Harbor                        | Black
 Construction                  | Red
 Cargo                         | Black
 Toa Hordika                   | Dark Bluish Gray
 Town                          | Black
 Castle                        | Black
 Cargo                         | Black
 Collectible Minifigures       | Yellow
 Supplemental                  | Black
 Toa Metru                     | Black
 Construction                  | White
 Robot                         | White
 Skull Spiders                 | Black
 Golden Land                   | Dark Pink
 Cargo                         | Yellow
 Star Wars                     | White
 Dinosaurs                     | Light Gray
 Phantoka                      | Black
 Pirates                       | Black
 Star Wars Episode 4/5/6       | Light Bluish Gray
 Barraki                       | Black
 Toa Mahri                     | Black
 Coast Guard                   | Red
 Fire                          | Red
 Glatorian                     | Black
 Castle                        | Black
 Planet Series 3               | Black
 Hospital                      | White
 Vahki                         | Black
 Train                         | Red
 Constraction                  | Black
 Jurassic Park III             | Black
 Glatorian Legends             | Black
 Hospital                      | Yellow
 Series 5                      | Black
 Creature                      | Black
 Friends                       | White
 Mistika                       | Black
 Space                         | Black
 Space                         | Black
 Toa Nuva                      | Black
 Vehicle                       | Black
 Soft Bricks                   | Red
 Protectors                    | Black
 Series 1                      | Black
 City                          | Black
 Traffic                       | Yellow
 Series 7                      | Light Bluish Gray
 Disney's Mickey Mouse         | Red
 Train                         | Black
 Boat                          | White
 Post Office                   | Red
 Thanksgiving                  | Reddish Brown
 X-Pod                         | Black
 Fusion                        | Tan
 Holiday                       | Brown
 Bohrok                        | Black
 Harbor                        | Black
 Star Wars Clone Wars          | White
 Airport                       | White
 Ghostbusters                  | Black
 Airport                       | Red
 Supplemental                  | White
 Race                          | Black
 Legend Beasts                 | White
 4.5V                          | Blue
 RC Train                      | Dark Bluish Gray
 Outback                       | Light Gray
 Wolfpack                      | Light Gray
 Pirates                       | Reddish Brown
 Airport                       | Red
 Fire                          | Red
 Airport                       | White
 Series 6                      | Black
 Advent                        | Red
 Pick A Model                  | Black
 Bionicle                      | Green
 Bionicle                      | Red
 Bionicle                      | Blue
 Supplemental                  | Light Bluish Gray
 Animals                       | White
 WeDo                          | White
 Supplemental                  | Black
 Iron Man                      | Black
 Toa Okoto                     | Black
 Star Wars Episode 2           | Light Bluish Gray
 12V                           | Light Gray
 Gravity Games                 | White
 Off-Road                      | Black
 Friends                       | White
 Series 2                      | Black
 Off-Road                      | Black
 Racers                        | Black
 Series 4                      | Black
 Series 3                      | Black
 Series 8                      | White
 Fire                          | White
 Riding Cycle                  | Light Bluish Gray
 Bohrok Va                     | Black
 Turaga                        | Black
 NXT                           | Black
 Advent Sub-Set                | Red
 Fire                          | Red
 Construction                  | Yellow
 Harbor                        | Red
 X-Men                         | Black
 Star Wars Episode 4/5/6       | Light Bluish Gray
 Star Wars Episode 3           | Light Bluish Gray
 Classic                       | White
 Coast Guard                   | Black
 Gas Station                   | White
 Creator                       | White
 Vehicles                      | Black
 Technic                       | Black
 Gas Station                   | Black
 Rahkshi                       | Dark Gray
 Legoland                      | White
 Last Crusade                  | Light Bluish Gray
 Series 9                      | Black
 Toa                           | Black
 My Own Creation               | Black
 Jungle                        | Black
 Star Wars Episode 2           | White
 Building                      | Blue
 Castle                        | White
 Traffic                       | Red
 Fire                          | Red
 Arctic                        | Black
 Building                      | White
 Aquaraiders I                 | Black
 Seasonal                      | White
 Constraction                  | Black
 Bricktober                    | Trans-Clear
 Recreation                    | Light Bluish Gray
 Airjitzu                      | Black
 Jungle Rescue                 | Reddish Brown
 Imperial Armada               | Black
 Jungle                        | Light Gray
 Cargo                         | Black
 Temple of Doom                | Dark Bluish Gray
 Stingrays                     | Black
 Order of the Phoenix          | Light Bluish Gray
 Police                        | Black
 Basic Model                   | Red
 Harbor                        | White
 Building Set with People      | Red
 Inventor                      | Black
 Crusaders                     | Light Gray
 Aquasharks                    | Black
 Scooby-Doo                    | Light Bluish Gray
 Superman                      | Black
 Island Xtreme Stunts          | Black
 Alpha Team                    | Black
 eLAB                          | Black
 Star Wars                     | Light Bluish Gray
 Dark Forest                   | Black
 Creator                       | White
 Farm                          | Black
 Airport                       | White
 My Own Creation               | Light Gray
 Rock Raiders                  | Black
 Justice League                | Black
 The Battle of the Five Armies | Dark Bluish Gray
 Hydronauts                    | Black
 Basic Model                   | Black
 Valentine                     | Red
 Race                          | Black
 Basketball                    | Red
 Basic Set                     | Red
 Books                         | Black
 Ice Planet 2002               | Blue
 Robot                         | Black
 Launch Command                | White
 Brickheadz                    | Black
 Police                        | Black
 Raiders of the Lost Ark       | Dark Bluish Gray
 Star Wars Episode 3           | Black
 Halloween                     | Black
 Dino Attack                   | Black
 Track System                  | Black
 Prince of Persia              | Dark Bluish Gray
 Indians                       | Black
 Recreation                    | White
 Mini                          | Light Bluish Gray
 Arctic Technic                | Light Gray
 Supplemental                  | Black
 Easter                        | Yellow
 Traffic                       | Black
 Islanders                     | Black
 Speedorz                      | Black
 Avatar                        | Dark Bluish Gray
 Imperial Soldiers             | Black
 Town Plan                     | White
 Dino Island                   | Light Gray
 Police                        | White
 Pharaoh's Quest               | Tan
 City                          | White
 Hero Factory                  | Black
 Space                         | White
 Promotional                   | White
 Hockey                        | Black
 Fright Knights                | Light Gray
 Hospital                      | White
 Znap                          | Black
 Recreation                    | White
 Learning                      | White
 Airport                       | Black
 Goblet of Fire                | Black
 Prisoner of Azkaban           | Light Bluish Gray
 Toy Story                     | Dark Bluish Gray
 Toy Story                     | Black
 Harbor                        | Black
 Dino                          | Yellow
 Star Wars                     | Light Gray
 Gears                         | Red
 Guardians of the Galaxy       | Black
 Dino 2010                     | Black
 Aquanauts                     | Yellow
 Throwbot Slizer               | Black
 RoboForce                     | Black
 Pirates III                   | Black
 Royal Knights                 | Light Gray
 Life On Mars                  | Light Gray
 Skylines                      | Tan
 Coast Guard                   | White
 Arctic                        | Light Bluish Gray
 Alien Conquest                | Light Bluish Gray
 Forestmen                     | Black
 Insectoids                    | Black
 Clikits                       | Trans-Dark Pink
 Monthly Mini Model Build      | White
 Legoland Parks                | Yellow
 Time Cruisers                 | Light Gray
 Fire                          | Red
 Chamber of Secrets            | Black
 Speed Slammers                | Black
 Res-Q                         | Black
 Sorcerer's Stone              | Light Gray
 SpongeBob SquarePants         | Red
 Technic                       | Black
 Speed Racer                   | Black
 Extreme Team                  | Black
 Gear                          | White
 The Desolation of Smaug       | Dark Bluish Gray
 Space Police II               | Black
 Kingdom of the Crystal Skull  | Dark Bluish Gray
 Mission Deep Sea              | Black
 Space                         | Blue
 Angry Birds                   | Light Bluish Gray
 The Fellowship of the Ring    | Dark Bluish Gray
 Orient Expedition             | Black
 UFO                           | Black
 Juniors                       | White
 Classic                       | White
 Creator                       | Red
 Playhouse                     | White
 The Lone Ranger               | Black
 Studios                       | Black
 Hospital                      | White
 Hospital                      | White
 Harbor                        | Black
 Marvel                        | Black
 World City                    | Dark Gray
 Cargo                         | Black
 Mission Deep Freeze           | Black
 Jurassic World                | Dark Bluish Gray
 Knights Kingdom I             | Black
 Heroes                        | Black
 Spybiotics                    | Black
 Unitron                       | Black
 Vikings                       | Black
 Trains                        | Dark Bluish Gray
 Food & Drink                  | White
 M:Tron                        | Black
 Pirates II                    | Black
 An Unexpected Journey         | Reddish Brown
 Black Falcons                 | Light Gray
 NXT                           | Black
 Lamborghini                   | Black
 Fairy-Tale                    | White
 Minitalia                     | Red
 Service Packs                 | Black
 Desert                        | Black
 Train                         | Black
 Mini                          | Light Bluish Gray
 Space Police I                | Black
 Spyrius                       | Black
 Creature                      | Black
 Blacktron II                  | Black
 Aquaraiders II                | Black
 Exploriens                    | White
 Coast Guard                   | White
 RoboRiders                    | Black
 Galaxy Squad                  | Black
 EV3                           | Black
 Lion Knights                  | Light Gray
 The Return of the King        | Black
 Cowboys                       | Black
 Construction                  | Yellow
 World Racers                  | Black
 Space Port                    | White
 Airport                       | White
 Mindstorms                    | Black
 Harbor                        | White
 Building                      | Red
 Black Knights                 | Black
 Service Packs                 | Black
 Building                      | White
 Divers                        | Black
 Warriors                      | Black
 Traffic                       | Black
 Radio Control                 | Black
 Discovery                     | Light Gray
 Ultimate Collector Series     | White
 Rahi                          | Black
 Star Wars Episode 7           | Dark Bluish Gray
 Technic                       | Black
 Fabuland                      | Yellow
 Ninja                         | Black
 Construction                  | Black
 Bionicle                      | Black
 Villains                      | Black
 Super Heroes                  | Black
 Williams F1                   | Black
 Power Miners                  | Black
 Town                          | Light Bluish Gray
 Paradisa                      | White
 Elves                         | Black
 Castle                        | Black
 Fire                          | Black
 Supplemental                  | Red
 Boat                          | White
 Kingdoms                      | Light Bluish Gray
 Pirates                       | Black
 Star Wars Episode 2           | Light Bluish Gray
 Disney Princess               | White
 Classic Castle                | Yellow
 Model                         | Black
 Dimensions                    | Black
 Basic Set                     | Red
 Atlantis                      | Black
 Spider-Man                    | Black
 Disney                        | White
 Cars                          | Black
 Space Police III              | Black
 Building Set with People      | Red
 Star Wars Rogue One           | Light Bluish Gray
 Battle Vehicles               | Black
 Station                       | White
 Playsets                      | Black
 Duplo                         | Red
 Supplemental                  | Black
 Futuron                       | White
 RCX                           | Light Gray
 Farm                          | Black
 Agents                        | Black
 RCX                           | Light Gray
 LEGO Brand Store              | Black
 Teenage Mutant Ninja Turtles  | Light Bluish Gray
 Bulk Bricks                   | Black
 Race                          | White
 Supplemental                  | White
 Monster Fighters              | Light Bluish Gray
 Homemaker                     | White
 Blacktron I                   | Black
 Harry Potter                  | Black
 Fantasy Era                   | Light Bluish Gray
 Star Wars Other               | Black
 Technic                       | Light Gray
 Knights Kingdom II            | Black
 Drome Racers                  | Black
 Mars Mission                  | Black
 My Own Train                  | Black
 Ultimate Collector Series     | Black
 The Two Towers                | Black
 Construction                  | Yellow
 Designer Sets                 | Black
 Ultra Agents                  | Black
 LEGO Ideas and CUUSOO         | Light Bluish Gray
 Pirates of the Caribbean      | Black
 Traffic                       | Black
 Soccer                        | White
 Hobby Sets                    | Black
 City                          | Black
 Titans                        | Black
 Fire                          | Red
 Supplemental                  | Red
 Traffic                       | White
 Educational and Dacta         | Yellow
 Star Wars Episode 1           | Light Bluish Gray
 Avengers                      | Black
 Airport                       | White
 Town Plan                     | White
 Speed Champions               | Black
 Christmas                     | White
 Riding Cycle                  | Black
 Fire                          | Red
 Ferries                       | White
 Universal Building Set        | Light Gray
 Nexo Knights                  | Black
 Game                          | Black
 Master Building Academy       | Black
 Supplemental                  | White
 Minecraft                     | Light Bluish Gray
 Star Wars Episode 3           | Light Bluish Gray
 Police                        | White
 Classic Basic                 | Red
 RC Train                      | Black
 12V                           | Black
 Factory                       | Black
 Universal Building Set        | Red
 Airport                       | White
 The LEGO Movie                | Black
 Star Wars Rebels              | Light Bluish Gray
 Pirates I                     | Black
 Building                      | Tan
 Power Racers                  | Black
 Model                         | Black
 Other                         | Light Bluish Gray
 Tiny Turbos                   | Black
 Classic Space                 | Light Gray
 Airport                       | Black
 Competition                   | Black
 4.5V                          | Black
 Model Team                    | Light Gray
 Freestyle                     | Yellow
 Town                          | White
 Expert Builder                | Light Gray
 Exo-Force                     | Black
 Legends of Chima              | Black
 9V                            | Black
 Race                          | Black
 Police                        | White
 Architecture                  | White
 Mosaic                        | White
 Ferrari                       | Red
 Off-Road                      | Black
 Star Wars Clone Wars          | Light Bluish Gray
 Basic                         | Red
 Creator                       | White
 Basic Set                     | Red
 Traffic                       | Black
 Modular Buildings             | Light Bluish Gray
 Friends                       | White
 Batman                        | Black
 FIRST LEGO League             | Black
 Star Wars                     | Black
 Star Wars Episode 4/5/6       | Light Bluish Gray
 Sculptures                    | White
 Ninjago                       | Black
 Star Wars Episode 4/5/6       | Light Bluish Gray
 Basic Set                     | Red
 Construction                  | Black
 Technic                       | Black
(568 rows)

